Issue key,Issue Type,Epic Link,Summary,Description,Priority,Status,Component,Reporter,Labels,Created
HG-1,Epic,,Catalogue & Discovery,"Listing, search and product detail.",High,In Progress,Discovery,Karan Malhotra,epic,2026-07-15 09:00
HG-2,Epic,,Cart & Checkout,"Cart, checkout, coupons, tax and payment.",High,In Progress,Checkout,Karan Malhotra,epic,2026-07-15 09:00
HG-3,Epic,,Orders & Returns,"Order history, invoice, tracking and returns.",High,To Do,Orders,Karan Malhotra,epic,2026-07-15 09:00
HG-4,Epic,,Accounts & Admin,Customer accounts and staff back-office.,High,To Do,Admin,Karan Malhotra,epic,2026-07-15 09:00
HG-10,Story,HG-1,"Product listing with filters, sort & pagination","Shoppers can combine category, brand and price filters, sort results, and page through large categories; works on mobile.",High,To Do,Discovery,Ananya Bose,"mvp,plp",2026-07-15 14:00
HG-11,Story,HG-1,Search with autocomplete,"Shoppers get autocomplete suggestions as they type, and a helpful message when there are no results.",High,To Do,Discovery,Ananya Bose,"mvp,search",2026-07-15 14:02
HG-12,Story,HG-1,Product detail page with variants,"A product page shows images, description and a tax-inclusive price with discount, and a variant selector where each variant is its own SKU with its own stock.",High,To Do,Discovery,Karan Malhotra,"mvp,pdp",2026-07-15 14:04
HG-20,Story,HG-2,"Cart: add, update, remove & persist","Shoppers can add, change quantity and remove items; the cart persists across sessions for logged-in users and shows totals.",High,To Do,Checkout,Karan Malhotra,"mvp,cart",2026-07-16 10:00
HG-21,Story,HG-2,Checkout flow,"A short checkout: address (with PIN serviceability check), delivery method, review with totals and taxes, payment, then confirmation. Guest checkout to be supported subject to BR-4.",High,To Do,Checkout,Karan Malhotra,"mvp,checkout",2026-07-16 10:02
HG-22,Story,HG-2,Apply promo code at checkout,Shoppers can enter a promo code and see the discount reflected in the totals before paying.,Medium,To Do,Checkout,Ananya Bose,"checkout,promotions",2026-07-16 10:04
HG-23,Story,HG-2,Payment via provider-agnostic module + test-mode mock,"Payments go through a single PaymentProvider interface with a built-in test-mode mock (success/failure/pending) that fires the confirmation callback internally, so checkout works end-to-end with no live credentials. An order is confirmed only after the callback succeeds; a failed payment keeps the cart for retry. HUMAN-CONFIG REQUIRED (post-build): live keys + merchant KYC. Card data is never stored.",High,To Do,Checkout,Tarun Shetty,"mvp,payments,human-config",2026-07-16 10:06
HG-24,Story,HG-2,GST tax calculation,"Compute GST per line (CGST+SGST intra-state, IGST inter-state) and show tax-inclusive prices, retaining the split for the invoice.",High,To Do,Checkout,Priyanka Sethi,"checkout,tax",2026-07-16 10:08
HG-30,Story,HG-3,Order history & detail with tracking,"Customers see their orders and an order-detail page with items, amounts and a status timeline (Confirmed → Packed → Shipped → Delivered) using a mock AWB.",High,To Do,Orders,Karan Malhotra,"mvp,orders",2026-07-16 14:00
HG-31,Story,HG-3,Download GST invoice PDF,"Customers can download the GST tax-invoice PDF for an order, and a credit note is produced when a refund is issued.",Medium,To Do,Orders,Priyanka Sethi,"orders,finance",2026-07-16 14:02
HG-32,Story,HG-3,Return or cancel from the order page,"Customers can request a return for eligible items within the return window, and cancel an order before it ships (releasing reserved stock). Return window UNDECIDED — Finance 7 days, CX 10 days.",Medium,To Do,Orders,Sameer Qureshi,"orders,returns,disputed",2026-07-16 14:04
HG-40,Story,HG-4,Customer accounts,"Customers can register (email + hashed password), log in and out, and reset a forgotten password via an expiring link.",High,To Do,Accounts,Karan Malhotra,"mvp,accounts",2026-07-17 12:00
HG-41,Story,HG-4,Catalogue CMS for merchandisers,"Merchandisers can create, edit, publish and unpublish products, variants and prices without engineering — the core reason for the rebuild.",High,To Do,Admin,Karan Malhotra,"mvp,admin,cms",2026-07-17 12:02
HG-42,Story,HG-4,Order management & reporting for staff,"Staff can view and update orders, issue refunds/credit notes and process returns, with role-based access, and see a dashboard of sales and stock (with low-stock flags).",Medium,To Do,Admin,Meera Iyer,"admin,oms,reporting",2026-07-17 12:04
HG-90,Bug,HG-2,Reserved stock not released on abandoned order,"If checkout starts but payment never completes, reserved stock isn't released, causing phantom out-of-stock. Needs the 15-minute reservation timeout.",High,To Do,Checkout,Karan Malhotra,"bug,inventory",2026-07-18 15:00
HG-91,Bug,HG-2,Coupon still applies on its expiry date,A coupon expiring today is still accepted after expiry (off-by-one); it should be rejected once expired.,Low,To Do,Admin,Ananya Bose,"bug,promotions",2026-07-18 15:04
