Issue key,Issue Type,Epic Link,Summary,Description,Priority,Status,Component,Reporter,Labels,Created
HRZN-1,Epic,,Product Discovery & Navigation,"Finding products: PLP faceted navigation, search, sort, pagination, related rails. From discovery call.",High,In Progress,Discovery,Karan Malhotra,"epic,discovery",2026-02-12 09:00
HRZN-2,Epic,,Cart & Checkout,"Cart, persistence, guest checkout, express checkout, checkout step flow, order placement, payment states.",High,In Progress,Checkout,Karan Malhotra,"epic,checkout",2026-02-12 09:00
HRZN-3,Epic,,Merchandising & Conversion,"Promotions engine, reviews/UGC, cross-sell/upsell, cart-abandonment, wishlist, back-in-stock, analytics.",Medium,To Do,Growth,Ananya Bose,"epic,growth",2026-02-12 09:00
HRZN-4,Epic,,Catalog & Admin (back-office),"Catalog CMS, product/variant modelling, category tree, RBAC, OMS view, pricing display, content pages, reporting.",High,To Do,Admin,Karan Malhotra,"epic,admin",2026-02-12 09:00
HRZN-5,Epic,,Accounts & Identity,"Registration, login/session, password reset, profile, address book, verification, consent capture.",High,To Do,Accounts,Karan Malhotra,"epic,accounts",2026-02-16 09:00
HRZN-6,Epic,,Orders & Post-purchase (customer),"Customer order history, order tracking, invoice download, self-service returns/cancellation, reorder.",High,To Do,Orders,Karan Malhotra,"epic,orders",2026-02-16 09:00
HRZN-7,Epic,,"Platform, Compliance & Reporting","Cookie consent, policy pages, T&C acceptance, data-subject requests, grievance officer, cross-cutting compliance.",High,To Do,Platform,Karan Malhotra,"epic,compliance",2026-02-17 09:00
HRZN-10,Story,HRZN-1,Faceted navigation on the PLP,"As a shopper I want to combine multiple filters at once on the product listing page (PLP) - category, brand, price range, rating, attributes - so I can narrow results quickly. Faceted navigation, the way large marketplaces let you stack several facets simultaneously and refine live. Show result counts per facet value e.g. 'Brand A (24)'. Must be usable on mobile.",High,To Do,Discovery,Ananya Bose,"mvp,search,plp",2026-02-12 14:10
HRZN-11,Story,HRZN-1,Search typeahead + synonym handling,As a shopper I want autocomplete suggestions as I type and tolerance for synonyms/misspellings so I still find items when my wording differs from the catalog term (e.g. 'sneakers' should match items tagged 'trainers'). Typeahead/predictive search as seen on major storefronts.,High,To Do,Discovery,Ananya Bose,"mvp,search",2026-02-12 14:12
HRZN-12,Story,HRZN-1,No-results fallback page,"As a shopper who searches something we don't have, I want 'did you mean' suggestions and fallback recommendations instead of a dead-end blank page, so I don't bounce.",Medium,To Do,Discovery,Ananya Bose,"mvp,search",2026-02-12 14:14
HRZN-13,Story,HRZN-1,Sort options on PLP,"Sort by relevance (default), price low-high / high-low, newest, popularity. Standard PLP sorting.",Medium,To Do,Discovery,Karan Malhotra,"mvp,plp",2026-02-12 14:16
HRZN-14,Story,HRZN-1,Product comparison (compare tool),As a shopper I want to add 2-3 products to a compare view and see attributes side by side. Common on higher-consideration categories. NOTE: Karan flagged as maybe-not-v1. DECISION PENDING.,Low,To Do,Discovery,Ananya Bose,"disputed,phase2",2026-02-12 14:18
HRZN-15,Story,HRZN-1,Related-product rails on PDP,"As a shopper on a PDP I want 'you may also like' / 'people also viewed' rails, so I discover more. Cross-sell/upsell rails comparable to the 'customers also bought' modules on large storefronts. Recommendation logic can start rule-based.",Medium,To Do,Discovery,Ananya Bose,"growth,pdp,cross-sell",2026-02-12 14:20
HRZN-16,Story,HRZN-1,Breadcrumb navigation,Breadcrumbs on PLP/PDP reflecting the category tree so users can navigate up levels and don't get lost.,Low,To Do,Discovery,Dev Prasad,ux,2026-02-12 14:22
HRZN-17,Story,HRZN-1,PLP pagination / lazy load,"As a shopper browsing a large category I want the PLP to page or lazy-load results rather than dumping everything, so it stays fast. Ties to perf NFR-PERF-03.",Medium,To Do,Discovery,Dev Prasad,"mvp,plp,perf",2026-02-16 10:05
HRZN-20,Story,HRZN-2,Product detail page with variants (SKU-level),"As a shopper I want a PDP with image gallery/zoom, description, price, and a variant selector (e.g. size/colour) where each variant is its own SKU with its own stock. Add-to-cart resolves to a specific SKU.",High,To Do,Checkout,Karan Malhotra,"mvp,pdp,catalog",2026-02-13 10:05
HRZN-21,Story,HRZN-2,Cart: add / update / remove + persistence,"Add, change qty, remove. Cart persists across sessions/devices for logged-in users. Show line totals, subtotal, estimated total.",High,To Do,Checkout,Karan Malhotra,"mvp,cart",2026-02-13 10:08
HRZN-22,Story,HRZN-2,Guest cart merge on login,"As a returning user who added items as a guest and then logs in, I want my guest (session) cart merged into my account cart rather than lost - the way major platforms reconcile a session cart into the account cart on sign-in.",Medium,To Do,Checkout,Dev Prasad,"cart,edge-case",2026-02-13 10:10
HRZN-23,Story,HRZN-2,Guest checkout (REQUIRED per Growth),"As a shopper I want to check out without creating an account (email + address + pay), so I'm not forced to register. Offer optional account creation post-purchase with email pre-filled. NOTE: BRD lists this as OPEN; Growth pushing for IN. Needs Meera's sign-off.",High,To Do,Checkout,Ananya Bose,"disputed,mvp,conversion",2026-02-13 10:12
HRZN-24,Story,HRZN-2,Express checkout for logged-in users,"As a returning logged-in user with a saved address + tokenised saved card I want a shortened express-checkout path, to reduce friction. Per CommerceForge email - tokenised, we store no card data.",Medium,To Do,Checkout,Karan Malhotra,"checkout,payments",2026-02-13 10:15
HRZN-25,Story,HRZN-2,Checkout step flow,"As a shopper I want a clear checkout sequence: (1) delivery address, (2) shipping method, (3) order review with totals + taxes, (4) payment, (5) confirmation. Keep steps minimal. Show applicable charges before payment.",High,To Do,Checkout,Karan Malhotra,"mvp,checkout",2026-02-16 10:20
HRZN-26,Story,HRZN-2,Apply coupon / promo at checkout,As a shopper I want to enter a promo code at checkout and see the discount reflected in totals before paying. Consumes the promotions engine (HRZN-30).,Medium,To Do,Checkout,Ananya Bose,"checkout,promotions",2026-02-16 10:22
HRZN-27,Story,HRZN-2,Pincode serviceability + address validation at checkout,"As a shopper I want to check whether my PIN code is serviceable (and see a delivery ETA) on the PDP and at checkout, and be blocked with a clear message if it isn't. COD availability may also vary by pincode. Per Ops intake C4.",High,To Do,Checkout,Sameer Qureshi,"mvp,checkout,shipping",2026-02-16 10:24
HRZN-28,Story,HRZN-2,Order confirmation (screen + email),"On successful payment (or COD acceptance) the customer sees an on-screen confirmation with order number and summary, and receives a confirmation email. Ties to notifications (Ops D1) and GST invoice (payments thread).",High,To Do,Checkout,Karan Malhotra,"mvp,orders",2026-02-16 10:26
HRZN-29,Story,HRZN-2,Payment failure / pending state handling,"As a shopper whose payment fails, times out or is pending, I want clear feedback and the ability to retry without losing my cart, and the order must not be marked confirmed until the PSP confirms success. Handle gateway callback/webhook reliably.",High,To Do,Checkout,Dev Prasad,"mvp,payments,edge-case",2026-02-16 10:28
HRZN-30,Story,HRZN-3,Promotions / coupon engine,"Support promo codes with cart-level and item-level discounts (percent or flat), min-order thresholds, expiry, usage limits. Ananya needs a launch code live. NOT resolved in BRD.",Medium,To Do,Growth,Ananya Bose,"growth,promotions",2026-02-13 11:00
HRZN-31,Story,HRZN-3,Reviews & ratings with UGC moderation,As a shopper I want star ratings + written reviews on the PDP with an average rating. Needs a moderation queue for user-generated content (UGC). Growth wants launch; not confirmed in scope. DISPUTED.,Medium,To Do,Growth,Ananya Bose,"disputed,reviews,ugc",2026-02-13 11:05
HRZN-32,Story,HRZN-3,Cart abandonment recovery email,"As Growth I want an automated reminder email to users who leave items in cart after N hours, to recover abandoned carts. NOTE: per Legal, this is MARKETING - only to opted-in customers (see HRZN-77). Not in BRD.",Low,Backlog,Growth,Ananya Bose,"growth,lifecycle,consent",2026-02-13 11:08
