Issue key,Issue Type,Epic Link,Summary,Description,Priority,Status,Component,Reporter,Labels,Created
HG-1,Epic,,Catalogue & Discovery,"Faceted product listing, search, and product detail with variants.",High,In Progress,Discovery,Karan Malhotra,"epic,discovery",2026-03-03 09:00
HG-2,Epic,,"Cart, Checkout & Payments","Persistent cart, coupons, GST tax, checkout flow, and provider-agnostic payment with a test mock.",High,In Progress,Checkout,Karan Malhotra,"epic,checkout",2026-03-03 09:00
HG-3,Epic,,Orders & Returns,"Order history with simulated tracking, GST invoice PDF, cancellation and returns.",High,To Do,Orders,Karan Malhotra,"epic,orders",2026-03-03 09:00
HG-4,Epic,,Accounts & Admin,"Registration and login, and the staff back-office: catalogue CMS, order management, promotions and RBAC.",High,To Do,Admin,Karan Malhotra,"epic,admin",2026-03-03 09:00
HG-10,Story,HG-1,Faceted product listing page,"As a shopper I want to combine filters (category, brand, price, rating) on the listing page and see the result count for each option.",High,To Do,Discovery,Ananya Bose,"mvp,plp",2026-03-03 14:10
HG-11,Story,HG-1,Search with autocomplete,"As a shopper I want autocomplete as I type, with tolerance for small spelling mistakes. In-app search for launch.",High,To Do,Discovery,Ananya Bose,"mvp,search",2026-03-03 14:12
HG-12,Story,HG-1,Product detail page with SKU variants,"As a shopper I want a product page with an image, description, tax-inclusive price, and a variant selector where each variant is its own SKU; add-to-cart resolves to a specific SKU.",High,To Do,Discovery,Karan Malhotra,"mvp,pdp",2026-03-03 14:16
HG-20,Story,HG-2,Persistent cart,"As a shopper I want to add, update the quantity of, and remove cart items, with the cart persisting across sessions for a logged-in customer.",High,To Do,Checkout,Karan Malhotra,"mvp,cart",2026-03-04 10:05
HG-21,Story,HG-2,Checkout flow,"As a shopper I want a short checkout: delivery address, delivery method, review with totals and taxes, payment, then confirmation. Show all charges before payment.",High,To Do,Checkout,Karan Malhotra,"mvp,checkout",2026-03-04 10:09
HG-22,Story,HG-2,Apply coupon at checkout,"As a shopper I want to enter a promo code at checkout and see the discount reflected in the totals before I pay.",Medium,To Do,Checkout,Ananya Bose,"checkout,promotions",2026-03-04 10:11
HG-23,Story,HG-2,Payment via provider-agnostic module + test mock,"As the platform I want payments handled through one payment interface with a built-in test-mode mock (success/failure/pending), so checkout works end-to-end with no live keys. An order is confirmed only when payment succeeds; on failure the customer keeps their cart and can retry.",High,To Do,Checkout,Tarun Shetty,"mvp,payments",2026-03-04 10:13
HG-24,Story,HG-2,GST tax and invoice,"As the platform I want to compute GST on the order and show tax-inclusive prices, and generate a downloadable GST tax-invoice PDF for each order.",High,To Do,Checkout,Priyanka Sethi,"checkout,tax",2026-03-04 10:17
HG-30,Story,HG-3,Order history and status timeline,"As a customer I want a list of my orders and an order-detail page with a status timeline (Confirmed, Packed, Shipped, Delivered) using simulated tracking.",High,To Do,Orders,Karan Malhotra,"mvp,orders",2026-03-04 14:00
HG-31,Story,HG-3,Cancel order and request a return,"As a customer I want to cancel an order before it ships (releasing reserved stock and recording a refund if prepaid), and to request a return for eligible items within the return window.",Medium,To Do,Orders,Neha Gupta,"orders,returns",2026-03-04 14:04
HG-40,Story,HG-4,"Register, log in, and reset password","As a customer I want to register for an account with my email and a password. Separately, I want to log in and log out securely. And separately, I want to reset a forgotten password via an emailed link that expires.",High,To Do,Accounts,Karan Malhotra,"mvp,accounts",2026-03-05 13:00
HG-50,Story,HG-4,Catalogue CMS,"As a merchandiser I want to create, edit, publish and unpublish products, variants and prices myself, without raising an engineering ticket.",High,To Do,Admin,Karan Malhotra,"mvp,admin,cms",2026-03-05 12:00
HG-51,Story,HG-4,Order management + role-based access,"As staff I want to view orders and advance their status in one place, with role-based access so each team sees only what it should and staff actions are audit-logged.",High,To Do,Admin,Sameer Qureshi,"mvp,admin,rbac",2026-03-05 12:03
HG-52,Story,HG-4,Promotions engine,"As a merchandiser I want to create promo codes with a percentage or flat discount, an expiry date and a usage limit.",Medium,To Do,Admin,Ananya Bose,promotions,2026-03-05 12:05
